Date,d10_pd,d9_pd,d8_pd,d7_pd,d6_pd,d5_pd,d4_pd,d3_pd,d2_pd,d1_pd,Trend,VolumeTrend,Volatility,PreviousClose,PriceDirection
2020-06-08,0.020000000000000462,0.20999999999999996,0.40000000000000036,0.21999999999999975,0.08000000000000007,0.2400000000000002,0.27000000000000046,0.5600000000000005,0.9400000000000004,1.71,0.1298787878787879,0.09158339709685907,0.48464935778354223,7.34,Negative
2020-06-09,0.1899999999999995,0.3799999999999999,0.1999999999999993,0.05999999999999961,0.21999999999999975,0.25,0.54,0.9199999999999999,1.6899999999999995,1.88,0.17848484848484852,0.09176938000815289,0.6210161028508038,7.53,Negative
2020-06-10,0.1900000000000004,0.009999999999999787,-0.1299999999999999,0.03000000000000025,0.0600000000000005,0.35000000000000053,0.7300000000000004,1.5,1.6900000000000004,1.4000000000000004,0.20115151515151516,0.07457421654326919,0.6618315495652953,7.24,Negative
2020-06-11,-0.1800000000000006,-0.3200000000000003,-0.16000000000000014,-0.1299999999999999,0.16000000000000014,0.54,1.3099999999999996,1.5,1.21,0.7799999999999994,0.1960606060606061,0.0795717575555285,0.656862999414642,6.81,Negative
2020-06-12,-0.13999999999999968,0.020000000000000462,0.05000000000000071,0.34000000000000075,0.7200000000000006,1.4900000000000002,1.6800000000000006,1.3900000000000006,0.96,0.28000000000000025,0.1324242424242424,0.0880314869912878,0.634089110456882,6.13,Positive
2020-06-15,0.16000000000000014,0.1900000000000004,0.4800000000000004,0.8600000000000003,1.63,1.8200000000000003,1.5300000000000002,1.0999999999999996,0.41999999999999993,0.75,0.07406060606060604,0.04176473883282389,0.5743204680315686,6.46,Neutral
2020-06-16,0.03000000000000025,0.3200000000000003,0.7000000000000002,1.4699999999999998,1.6600000000000001,1.37,0.9399999999999995,0.2599999999999998,0.5899999999999999,0.6299999999999999,0.019454545454545454,-0.002727332292399014,0.5225715262047866,6.5,Negative
2020-06-17,0.29000000000000004,0.6699999999999999,1.4399999999999995,1.63,1.3399999999999999,0.9099999999999993,0.22999999999999954,0.5599999999999996,0.5999999999999996,0.6499999999999995,-0.03806060606060608,-0.04090009223874181,0.4597782074000463,6.55,Negative
2020-06-18,0.3799999999999999,1.1499999999999995,1.3399999999999999,1.0499999999999998,0.6199999999999992,-0.0600000000000005,0.2699999999999996,0.3099999999999996,0.35999999999999943,0.13999999999999968,-0.09612121212121211,-0.07843795122490473,0.4449539301995208,6.33,Negative
2020-06-19,0.7699999999999996,0.96,0.6699999999999999,0.23999999999999932,-0.4400000000000004,-0.11000000000000032,-0.07000000000000028,-0.020000000000000462,-0.2400000000000002,-0.2400000000000002,-0.13054545454545455,-0.09576268047234437,0.46001739097560224,6.33,Negative
