Date,OpenPrice,ClosePrice,Trend,VolumeTrend,Volatility,PriceDirection
2017-08-29,67.99,67.37,-0.041785714285714814,0.12847434746417083,0.29398042417126624,Negative
2017-08-30,67.41,67.15,0.09428571428571278,0.0009930244429988322,0.29922348483625016,Neutral
2017-08-31,67.07,67.31,0.12678571428571317,0.003153926515188121,0.3265278061103892,Negative
2017-09-01,67.33,67.15,0.16428571428571362,-0.10006299688980413,0.36318882478536973,Neutral
2017-09-05,67.15,66.99,0.1635714285714286,-0.0713043080189114,0.36207452158868153,Positive
2017-09-06,67.1,67.14,0.11285714285714338,-0.08775187371687707,0.2880830379156217,Positive
2017-09-07,67.4,67.22,0.028214285714287055,-0.12743196051107286,0.11551128578133654,Positive
2017-09-08,67.38,67.72,-0.054285714285713174,-0.25584327557692715,0.21527391189565237,Positive
2017-09-11,67.58,68.09,-0.13249999999999984,-0.08093592021218558,0.36106418672969526,Negative
2017-09-12,68.2,68.61,-0.2557142857142857,0.047290516280850715,0.5598469178521678,Negative
2017-09-13,68.38,67.61,-0.20250000000000046,0.02477006230877814,0.534278074811695,Neutral
2017-09-14,67.55,67.31,-0.07785714285714318,0.12483006707305307,0.4897646248506543,Positive
2017-09-15,67.38,67.39,0.028214285714285425,0.1105023471144983,0.4577808048685774,Neutral
2017-09-18,67.24,67.88,0.07928571428571467,-0.00868535264010092,0.4135708117439265,Negative
2017-09-19,67.82,67.34,0.14035714285714315,-0.0510957208002127,0.44448089419695164,Negative
2017-09-20,67.64,66.83,0.18964285714285736,-0.10862196171660465,0.5182033325612161,Negative
2017-09-21,66.88,66.72,0.13142857142857184,-0.04425911058375497,0.37787807125406675,Negative
2017-09-22,66.73,66.47,0.17535714285714338,0.010142143872448058,0.4472409750860471,Negative
2017-09-25,66.1,65.88,0.28464285714285775,0.09597741014346964,0.6153280193754972,Neutral
2017-09-26,66.0,66.08,0.31000000000000033,0.09397462190170106,0.6454392587491827,Negative
2017-09-27,66.15,66.03,0.22392857142857195,-0.001311711263745093,0.4843678817778493,Negative
2017-09-28,65.84,65.62,0.19285714285714223,0.028204177975216536,0.4165749558933544,Positive
2017-09-29,65.67,65.84,0.14964285714285608,0.01826934938693654,0.35304506274203823,Negative
2017-10-02,65.75,65.93,0.07714285714285553,0.03028505474098329,0.2432769480846613,Neutral
2017-10-03,66.09,65.6,0.04749999999999951,0.02865876182818794,0.17236648189724363,Positive
2017-10-04,65.65,65.55,0.07642857142857198,-0.0019364865641279285,0.20154505244055437,Positive
2017-10-05,65.64,66.52,-0.03892857142857008,0.0010271416080255206,0.3140518610493674,Neutral
2017-10-06,66.7,66.57,-0.13678571428571223,-0.002161656792971389,0.3987736302255501,Negative
2017-10-09,66.47,66.42,-0.14071428571428465,0.02010469972812637,0.4032520860429101,Neutral
2017-10-10,66.44,66.44,-0.1496428571428566,0.050669683095486404,0.4107732876874428,Positive
2017-10-11,66.54,66.4,-0.14571428571428718,0.01604324440967991,0.4081966312892833,Positive
2017-10-12,66.4,66.47,-0.08535714285714399,0.04197008602466209,0.3265153057636949,Positive
2017-10-13,66.48,67.23,-0.06821428571428725,0.009448812906638746,0.2714736804621657,Neutral
2017-10-16,67.61,67.49,-0.1575000000000005,0.016538881518859343,0.4155448844835026,Negative
2017-10-17,67.41,67.27,-0.1957142857142849,-0.02506258886072832,0.45083143145951476,Negative
2017-10-18,67.06,66.88,-0.14571428571428469,-0.02569725663836862,0.42067001949998906,Negative
2017-10-19,66.76,66.72,-0.06499999999999877,-0.05893448597261373,0.3887604582227333,Negative
2017-10-20,66.91,66.06,0.10214285714285719,-0.07909143169267943,0.46484581600038083,Positive
2017-10-23,66.18,66.14,0.23857142857142832,-0.008108624139456105,0.5172375603893722,Positive
2017-10-24,66.42,66.67,0.1978571428571415,0.028190164242584765,0.4914036538533324,Neutral
2017-10-25,66.37,65.79,0.19428571428571284,-0.0021897880246818133,0.4842920353569745,Positive
2017-10-26,67.74,66.88,0.04464285714285663,-0.05102946474293906,0.40968380041994346,Positive
2017-10-27,67.68,67.15,-0.09214285714285762,-0.05775384908968824,0.4583110074958223,Positive
2017-10-30,66.9,67.65,-0.2500000000000006,-0.0427583638214679,0.6146776158512458,Negative
2017-10-31,67.6,67.02,-0.2128571428571427,-0.06848145051802094,0.5805838018928946,Positive
2017-11-01,66.89,67.26,-0.17857142857142871,0.0028481458952899674,0.5414719168476735,Positive
2017-11-02,67.32,67.81,-0.23892857142857135,0.15189560569332144,0.609777476977111,Positive
2017-11-03,68.0,66.85,-0.02999999999999974,0.08579435775886696,0.34456716415271954,Positive
2017-11-06,66.4,68.21,-0.08464285714285547,0.03542241422596771,0.4492033765115615,Positive
2017-11-07,68.68,69.21,-0.23749999999999835,0.00976943715072251,0.7494351614546036,Positive
2017-11-08,69.39,69.56,-0.4257142857142855,0.020429673356845177,0.986153111430306,Positive
2017-11-09,69.64,70.37,-0.5425000000000003,-0.03655482234604766,1.1914782449391463,Negative
2017-11-10,70.1,69.88,-0.5214285714285719,-0.052955164098789836,1.1647001891526632,Neutral
2017-11-13,69.57,69.25,-0.4178571428571441,-8.045283266151393e-05,1.089071875966143,Positive
2017-11-14,69.15,70.15,-0.22214285714285886,0.033973182751289514,0.6692944808085758,Negative
2017-11-15,70.09,69.98,-0.08464285714285834,0.0003598140932028998,0.41208281315527046,Negative
2017-11-16,69.97,69.03,0.07499999999999984,0.018612168063657092,0.4501700359025365,Negative
2017-11-17,69.07,69.22,0.15785714285714295,0.07606622017679111,0.48461219505068004,Negative
2017-11-20,68.98,68.32,0.20928571428571502,0.010176825157265047,0.5961029906905411,Negative
2017-11-21,68.27,67.92,0.3003571428571438,-0.02726743461573276,0.7478895476674398,Positive
2017-11-22,68.22,68.1,0.3921428571428589,-0.09673624337799386,0.82460380096834,Neutral
2017-11-24,67.99,68.14,0.3100000000000009,-0.06716098394773373,0.7009119424153156,Negative
2017-11-27,68.31,68.21,0.17285714285714365,-4.212124962312305e-05,0.4624469081496206,Negative
2017-11-28,68.13,67.63,0.17035714285714335,0.05446724658722354,0.4581016730564768,Negative
2017-11-29,67.55,66.9,0.16892857142857082,-0.004984122464581448,0.4539486620258937,Negative
2017-11-30,66.78,66.74,0.2303571428571431,-0.030158225860026762,0.5630202809266222,Negative
2017-12-01,67.02,66.82,0.2839285714285716,-0.08199955329677476,0.6199506234452896,Negative
2017-12-04,67.02,66.53,0.3035714285714286,-0.0614338934523504,0.6477527873111676,Negative
2017-12-05,66.72,66.3,0.28607142857142837,-0.07543851255639293,0.6186951377450657,Negative
2017-12-06,66.3,65.51,0.2774999999999996,0.16868009211699145,0.5969377638226184,Neutral
2017-12-07,65.55,65.4,0.2671428571428564,0.1997465658134288,0.5744029731035528,Positive
2017-12-08,65.5,65.15,0.3082142857142835,0.03449135769927396,0.6419358477706751,Positive
2017-12-11,65.36,65.81,0.23892857142856985,0.03340546280399325,0.5817566641874641,Positive
2017-12-12,65.94,65.92,0.1132142857142853,-0.0037545363911103418,0.45731246853497093,Negative
2017-12-13,65.97,66.3,-0.043928571428571074,-0.005175861154057288,0.40966885581963475,Negative
2017-12-14,66.45,65.63,-0.10464285714285529,-0.015032913630600445,0.34833715780864133,Neutral
2017-12-15,65.55,65.4,-0.05178571428571336,-0.11975631743825765,0.35774805865215514,Negative
2017-12-18,65.74,65.66,-0.014999999999999061,-0.24509293934643653,0.34213018169183534,Negative
2017-12-19,65.77,65.6,0.07321428571428658,-0.11068989337278254,0.2677418799622388,Negative
2017-12-20,65.54,64.3,0.22250000000000075,-0.16474977427154916,0.5738555602951257,Negative
2017-12-21,64.2,63.81,0.3546428571428571,-0.07307973582952246,0.8049616545563647,Neutral
2017-12-22,64.06,63.39,0.40214285714285714,0.03497678668685134,0.8977386556663072,Positive
2017-12-26,63.62,63.8,0.39750000000000046,0.23122077101417277,0.8923141205852999,Positive
2017-12-27,63.97,64.1,0.3282142857142857,0.12758407885076348,0.8326378049822813,Neutral
2017-12-28,64.27,64.08,0.17750000000000019,0.040779667068326836,0.6489520594852918,Negative
2017-12-29,64.1,64.25,-0.03928571428571393,0.08501013317892292,0.2943966503802335,Negative
2018-01-02,63.86,63.77,-0.06714285714285718,0.0025896908044961767,0.2641891715558121,Negative
2018-01-03,63.97,63.51,-0.016071428571428893,-0.017411524837193413,0.29547609454739165,Negative
2018-01-04,63.51,63.84,0.0489285714285703,-0.0403294400481061,0.23211538298959827,Negative
2018-01-05,63.76,62.74,0.18928571428571325,-0.07208116809288581,0.47319150888581213,Neutral
2018-01-08,62.69,62.69,0.2542857142857143,-0.07189394040351825,0.5732827061969428,Negative
