Date,OpenPrice,ClosePrice,Trend,VolumeTrend,Volatility,PriceDirection
2017-01-17,62.62,62.7,-0.04949999999999039,0.011340433501528538,0.25433039656573997,Negative
2017-01-18,62.68,62.53,-0.036833333333333704,0.012757013862710581,0.2561683474245453,Neutral
2017-01-19,62.67,62.5,0.00033333333333311935,0.014172069946930668,0.23368756180680644,Positive
2017-01-20,62.24,62.3,0.054166666666666884,0.004003868150824576,0.23368756180680647,Positive
2017-01-23,62.67,62.74,0.03366666666666651,-0.029195999923906812,0.22709654225939427,Positive
2017-01-24,62.7,62.96,0.01349999999999969,-0.032152493860284743,0.24725155880870278,Positive
2017-01-25,63.2,63.52,-0.03700000000000035,-0.03440403169543253,0.3584224695337434,Positive
2017-01-26,63.95,63.68,-0.13066666666666674,-0.035559909977088126,0.44324003473858536,Positive
2017-01-27,64.12,64.27,-0.2071666666666664,-0.09788921093702503,0.6201572878942844,Positive
2017-01-30,65.39,65.78,-0.36416666666666664,-0.15028730618102043,1.0492760584867933,Negative
2017-01-31,65.69,65.13,-0.4123333333333332,-0.12522917852808493,1.1342447315774096,Negative
2017-02-01,64.86,64.65,-0.382666666666667,-0.07957253875759249,1.0917954405247428,Negative
2017-02-02,64.36,63.58,-0.22916666666666674,-0.07088000822907137,0.9491763811163523,Neutral
2017-02-03,63.25,63.17,-0.06366666666666676,-0.06908704021559323,0.8919115274731599,Positive
2017-02-06,63.5,63.68,0.056666666666666574,-0.04236941810775203,0.8167928851820087,Negative
2017-02-07,63.5,63.64,0.14499999999999968,0.03320424049434018,0.8071226137212653,Neutral
2017-02-08,63.74,63.43,0.23599999999999977,0.10161415567424174,0.8277382540899934,Positive
2017-02-09,63.57,63.34,0.2796666666666667,0.06173365818196119,0.863315458130406,Positive
2017-02-10,63.52,64.06,0.13399999999999992,0.045506232510783104,0.6116643959994178,Positive
2017-02-13,64.25,64.0,0.017833333333333513,0.07633478450457264,0.42386522432851537,Positive
2017-02-14,64.24,64.72,-0.1251666666666667,0.11013426340678233,0.4410117436358026,Negative
2017-02-15,64.41,64.57,-0.16783333333333275,0.047852693048457975,0.507019857404488,Neutral
2017-02-16,64.5,64.53,-0.15716666666666648,0.01378011843509559,0.4853635521727774,Neutral
2017-02-17,64.74,64.52,-0.16566666666666613,-0.0019160151561269068,0.4961406610584883,Neutral
2017-02-21,64.47,64.62,-0.16349999999999987,-0.004121504957401098,0.4929603194408337,Negative
2017-02-22,64.61,64.49,-0.11883333333333283,-0.004017191305300404,0.4157723736212704,Neutral
2017-02-23,64.33,64.36,-0.04033333333333314,0.010919686477631555,0.23290436759417812,Positive
2017-02-24,64.42,64.62,-0.022166666666667136,0.002306818883542229,0.19792129624215007,Negative
2017-02-27,64.53,64.62,0.010333333333332428,0.007626347847683992,0.09654526220546117,Negative
2017-02-28,64.54,64.23,0.01916666666666559,0.012416569775732293,0.12543258481484532,Neutral
2017-03-01,64.08,63.98,0.04899999999999974,-0.008386107371133501,0.2044746354519564,Positive
2017-03-02,64.13,64.94,0.008333333333333233,-0.02398577090467322,0.2578974817851299,Negative
2017-03-03,64.69,64.01,0.03733333333333324,-0.028797182661928485,0.29735874330885603,Positive
2017-03-06,63.99,64.25,0.03349999999999976,-0.016037490522806667,0.2938043356629047,Positive
2017-03-07,63.97,64.27,0.03300000000000056,-0.006439484584260334,0.2935268721792914,Positive
2017-03-08,64.19,64.4,0.031000000000000357,0.008908940621074701,0.2937286897970245,Positive
2017-03-09,64.26,64.99,-0.03133333333333277,0.009020410712130259,0.3470510689285419,Negative
2017-03-10,65.19,64.73,-0.07016666666666671,0.009105106753968119,0.3560517371200033,Neutral
2017-03-13,65.11,64.93,-0.08800000000000076,0.04384586098140969,0.3811386449399571,Negative
2017-03-14,65.01,64.71,-0.05866666666666663,0.025945579768063352,0.3369617335492896,Neutral
2017-03-15,64.53,64.41,-0.07716666666666613,0.01995601342432875,0.3146701192528723,Positive
2017-03-16,64.55,64.75,-0.04966666666666651,-0.009883953405320145,0.2624292967686141,Neutral
2017-03-17,64.75,64.64,-0.02249999999999992,-0.011417517094230424,0.2305923665392527,Neutral
2017-03-20,64.91,64.87,-0.005833333333333265,-0.11111036860276995,0.19585204796314498,Negative
2017-03-21,64.91,64.93,0.005999999999999272,-0.06071773129033956,0.17048949136726083,Negative
2017-03-22,65.19,64.21,0.025500000000000272,-0.059649971866212986,0.2271563338320149,Positive
2017-03-23,64.12,65.03,-0.0010000000000000252,-0.04132486360250364,0.2517494345133263,Neutral
2017-03-24,64.94,64.87,-0.028500000000000844,-0.011441867817025934,0.2468467810876516,Positive
2017-03-27,65.12,64.98,-0.046000000000000575,0.004903786993028857,0.2606402373643316,Positive
2017-03-28,64.63,65.1,-0.04199999999999973,0.08504454616879971,0.25267458210996485,Positive
2017-03-29,64.96,65.29,-0.06749999999999996,0.05739759663414793,0.29024893530286344,Positive
2017-03-30,65.12,65.47,-0.08683333333333303,0.11292022730768868,0.32865983014451017,Positive
2017-03-31,65.42,65.71,-0.12749999999999945,0.013145507007707133,0.3982771539493882,Neutral
2017-04-03,65.65,65.86,-0.1691666666666666,0.060408015417183,0.4647925330353665,Negative
2017-04-04,65.81,65.55,-0.11466666666666601,0.009877194034146669,0.32838926013625674,Neutral
2017-04-05,65.39,65.73,-0.11816666666666628,0.025662382998363365,0.33386993845278756,Neutral
2017-04-06,66.3,65.56,-0.08533333333333351,0.011644437328888178,0.2791167727663563,Neutral
2017-04-07,65.6,65.73,-0.06150000000000073,-0.004492150962733791,0.22677012889272913,Negative
