Date,d10_pd,d9_pd,d8_pd,d7_pd,d6_pd,d5_pd,d4_pd,d3_pd,d2_pd,d1_pd,Trend,VolumeTrend,Volatility,PreviousClose,PriceDirection
2020-01-16,-1.1500000000000057,-0.12000000000000455,0.10999999999999943,-1.0900000000000034,-0.9200000000000017,-0.5100000000000051,0.3400000000000034,1.3599999999999994,0.23999999999999488,1.1499999999999915,0.20709090909090905,-0.042578410976831536,0.8339118658467455,82.07,Positive
2020-01-17,1.0300000000000011,1.2600000000000051,0.060000000000002274,0.23000000000000398,0.6400000000000006,1.490000000000009,2.510000000000005,1.3900000000000006,2.299999999999997,2.740000000000009,0.22430303030303048,-0.03011101116119054,0.8793321329281681,82.51,Neutral
2020-01-21,0.23000000000000398,-0.9699999999999989,-0.7999999999999972,-0.39000000000000057,0.46000000000000796,1.480000000000004,0.35999999999999943,1.269999999999996,1.710000000000008,1.7000000000000028,0.2764242424242424,-0.025676421487989428,0.958866518343404,82.5,Positive
2020-01-22,-1.2000000000000028,-1.0300000000000011,-0.6200000000000045,0.23000000000000398,1.25,0.12999999999999545,1.039999999999992,1.480000000000004,1.4699999999999989,2.269999999999996,0.3669090909090909,-0.0014326018850236225,1.1217557666444158,83.3,Negative
2020-01-23,0.1700000000000017,0.5799999999999983,1.4300000000000068,2.450000000000003,1.3299999999999983,2.239999999999995,2.680000000000007,2.6700000000000017,3.469999999999999,2.5600000000000023,0.30024242424242426,-0.012442617042769308,0.9882995497317605,82.39,Neutral
2020-01-24,0.4099999999999966,1.2600000000000051,2.280000000000001,1.1599999999999966,2.069999999999993,2.510000000000005,2.5,3.299999999999997,2.3900000000000006,3.0799999999999983,0.2515151515151515,0.0180385799474083,0.8538758691987967,83.08,Negative
2020-01-27,0.8500000000000085,1.8700000000000045,0.75,1.6599999999999966,2.1000000000000085,2.0900000000000034,2.8900000000000006,1.980000000000004,2.6700000000000017,2.3500000000000085,0.17533333333333345,0.0044955284782571695,0.658565866106041,82.76,Negative
2020-01-28,1.019999999999996,-0.10000000000000853,0.8099999999999881,1.25,1.2399999999999949,2.039999999999992,1.1299999999999955,1.8199999999999932,1.5,1.0799999999999983,0.10442424242424306,-0.005289231957592355,0.5543906564869225,82.34,Positive
2020-01-29,-1.1200000000000045,-0.21000000000000796,0.23000000000000398,0.21999999999999886,1.019999999999996,0.10999999999999943,0.7999999999999972,0.480000000000004,0.060000000000002274,0.4399999999999977,0.10915151515151571,0.003951247230067173,0.557477353800135,82.72,Positive
2020-01-30,0.9099999999999966,1.3500000000000085,1.3400000000000034,2.1400000000000006,1.230000000000004,1.9200000000000017,1.6000000000000085,1.1800000000000068,1.5600000000000023,1.1099999999999994,0.009333333333333494,0.04171141934888647,0.35772056133244595,82.27,Positive
2020-01-31,0.44000000000001194,0.4300000000000068,1.230000000000004,0.3200000000000074,1.0100000000000051,0.6900000000000119,0.27000000000001023,0.6500000000000057,0.20000000000000284,1.9000000000000057,0.049454545454545126,0.046335066719462574,0.5037300864550371,83.97,Negative
2020-02-03,-0.010000000000005116,0.789999999999992,-0.12000000000000455,0.5699999999999932,0.25,-0.1700000000000017,0.20999999999999375,-0.2400000000000091,1.4599999999999937,0.5699999999999932,0.04733333333333319,0.024599828734164355,0.5017459516528253,83.08,Positive
2020-02-04,0.7999999999999972,-0.10999999999999943,0.5799999999999983,0.2600000000000051,-0.1599999999999966,0.21999999999999886,-0.23000000000000398,1.4699999999999989,0.5799999999999983,0.3400000000000034,0.024545454545454617,0.02316328266977467,0.4888404647735285,82.84,Positive
2020-02-05,-0.9099999999999966,-0.21999999999999886,-0.539999999999992,-0.9599999999999937,-0.5799999999999983,-1.0300000000000011,0.6700000000000017,-0.21999999999999886,-0.45999999999999375,0.3400000000000034,0.09460606060606046,0.0035984877302136795,0.5275120851696192,83.64,Positive
2020-02-06,0.6899999999999977,0.37000000000000455,-0.04999999999999716,0.3299999999999983,-0.12000000000000455,1.5799999999999983,0.6899999999999977,0.45000000000000284,1.25,0.9200000000000017,0.08187878787878794,-0.015573738995666558,0.5088703174680164,83.31,Positive
2020-02-07,-0.3199999999999932,-0.7399999999999949,-0.35999999999999943,-0.8100000000000023,0.8900000000000006,0.0,-0.23999999999999488,0.5600000000000023,0.23000000000000398,0.7900000000000063,0.1345454545454546,-0.03332190203787386,0.5723635208501677,83.87,Positive
2020-02-10,-0.4200000000000017,-0.04000000000000625,-0.4900000000000091,1.2099999999999937,0.3199999999999932,0.0799999999999983,0.8799999999999955,0.5499999999999972,1.1099999999999994,1.4399999999999977,0.17430303030303074,-0.04932461059372427,0.6496645288146807,84.2,Positive
2020-02-11,0.37999999999999545,-0.07000000000000739,1.6299999999999955,0.7399999999999949,0.5,1.2999999999999972,0.9699999999999989,1.5300000000000011,1.8599999999999994,2.5999999999999943,0.2089696969696975,-0.056960686923045,0.7555024817960566,84.94,Positive
2020-02-12,-0.45000000000000284,1.25,0.35999999999999943,0.12000000000000455,0.9200000000000017,0.5900000000000034,1.1500000000000057,1.480000000000004,2.219999999999999,2.0700000000000074,0.229272727272728,-0.053012827358813054,0.8000806209376664,84.79,Positive
2020-02-13,1.7000000000000028,0.8100000000000023,0.5700000000000074,1.3700000000000045,1.0400000000000063,1.6000000000000085,1.9300000000000068,2.6700000000000017,2.5200000000000102,2.5200000000000102,0.19448484848484915,-0.009186391084584857,0.7039041127880991,84.79,Positive
2020-02-14,-0.8900000000000006,-1.1299999999999955,-0.3299999999999983,-0.6599999999999966,-0.09999999999999432,0.23000000000000398,0.9699999999999989,0.8200000000000074,0.8200000000000074,1.25,0.2659393939393942,0.0010949036402127853,0.8017830130403114,85.22,Neutral
2020-02-18,-0.23999999999999488,0.5600000000000023,0.23000000000000398,0.7900000000000063,1.1200000000000045,1.8599999999999994,1.710000000000008,1.710000000000008,2.1400000000000006,3.3799999999999955,0.3305454545454541,-0.0013606053981983109,1.0015807506137464,86.46,Neutral
2020-02-19,0.7999999999999972,0.46999999999999886,1.0300000000000011,1.3599999999999994,2.0999999999999943,1.9500000000000028,1.9500000000000028,2.3799999999999955,3.6199999999999903,3.4299999999999926,0.3278181818181812,0.0004509413723009724,0.9938455614430216,86.27,Positive
2020-02-20,-0.3299999999999983,0.23000000000000398,0.5600000000000023,1.2999999999999972,1.1500000000000057,1.1500000000000057,1.5799999999999983,2.819999999999993,2.6299999999999955,1.7000000000000028,0.2861212121212116,-0.03396837825046432,0.9331500415260103,85.34,Positive
2020-02-21,0.5600000000000023,0.8900000000000006,1.6299999999999955,1.480000000000004,1.480000000000004,1.9099999999999966,3.1499999999999915,2.9599999999999937,2.030000000000001,3.0900000000000034,0.2596363636363635,-0.052046831098327785,0.8577505464877282,86.4,Negative
2020-02-24,0.3299999999999983,1.0699999999999932,0.9200000000000017,0.9200000000000017,1.3499999999999943,2.589999999999989,2.3999999999999915,1.4699999999999989,2.530000000000001,3.1400000000000006,0.2663030303030305,-0.03207442005273634,0.8776536902446195,87.01,Negative
2020-02-25,0.7399999999999949,0.5900000000000034,0.5900000000000034,1.019999999999996,2.259999999999991,2.069999999999993,1.1400000000000006,2.200000000000003,2.8100000000000023,1.5900000000000034,0.19036363636363693,-0.01772163313613484,0.7556778414112715,85.79,Negative
2020-02-26,-0.14999999999999147,-0.14999999999999147,0.28000000000000114,1.519999999999996,1.3299999999999983,0.4000000000000057,1.460000000000008,2.0700000000000074,0.8500000000000085,-1.4299999999999926,0.020121212121212543,-0.0018449290196842368,0.9862737956571679,83.51,Negative
2020-02-27,0.0,0.4299999999999926,1.6699999999999875,1.4799999999999898,0.5499999999999972,1.6099999999999994,2.219999999999999,1.0,-1.2800000000000011,-1.4300000000000068,-0.15096969696969648,0.03906124407132509,1.1732114046496473,83.36,Negative
2020-02-28,0.4299999999999926,1.6699999999999875,1.4799999999999898,0.5499999999999972,1.6099999999999994,2.219999999999999,1.0,-1.2800000000000011,-1.4300000000000068,-6.3300000000000125,-0.5719999999999997,0.07956339035507386,2.402889094402821,78.46,Neutral
2020-03-02,1.2399999999999949,1.0499999999999972,0.12000000000000455,1.1800000000000068,1.7900000000000063,0.5700000000000074,-1.7099999999999937,-1.8599999999999994,-6.760000000000005,-10.120000000000005,-1.070909090909091,0.17584297140357225,3.755617126385492,75.1,Positive
2020-03-03,-0.18999999999999773,-1.1199999999999903,-0.05999999999998806,0.5500000000000114,-0.6699999999999875,-2.9499999999999886,-3.0999999999999943,-8.0,-11.36,-7.390000000000001,-1.147939393939395,0.23077046325025516,3.8786504096141523,79.07,Positive
2020-03-04,-0.9299999999999926,0.13000000000000966,0.7400000000000091,-0.47999999999998977,-2.759999999999991,-2.9099999999999966,-7.810000000000002,-11.170000000000002,-7.200000000000003,-7.709999999999994,-1.175878787878789,0.2585349908091177,3.9242018296718677,78.56,Negative
2020-03-05,1.0600000000000023,1.6700000000000017,0.45000000000000284,-1.8299999999999983,-1.980000000000004,-6.88000000000001,-10.240000000000009,-6.27000000000001,-6.780000000000001,-4.310000000000002,-1.0376363636363646,0.19110778772816936,3.796873582304266,81.03,Negative
2020-03-06,0.6099999999999994,-0.6099999999999994,-2.8900000000000006,-3.0400000000000063,-7.940000000000012,-11.300000000000011,-7.3300000000000125,-7.840000000000003,-5.3700000000000045,-7.030000000000001,-0.8670303030303038,0.11802293735072929,3.5266562066637603,79.37,Positive
