Date,d10_pd,d9_pd,d8_pd,d7_pd,d6_pd,d5_pd,d4_pd,d3_pd,d2_pd,d1_pd,Trend,VolumeTrend,Volatility,PreviousClose,DayClose
19/01/2017,-0.18999999999999773,1.019999999999996,0.45999999999999375,0.4399999999999977,0.3199999999999932,-1.1099999999999994,-1.2199999999999989,-1.240000000000009,-0.9699999999999989,-1.1400000000000006,-0.2266060606060605,-0.0014346608033305188,0.8224968085044452,114.7,114.08666666666666
20/01/2017,1.2099999999999937,0.6499999999999915,0.6299999999999955,0.5099999999999909,-0.9200000000000017,-1.0300000000000011,-1.0500000000000114,-0.7800000000000011,-0.9500000000000028,-1.4500000000000028,-0.2847272727272722,-0.007214155021949397,0.9030813916807262,114.2,113.27333333333333
23/01/2017,-0.5600000000000023,-0.5799999999999983,-0.7000000000000028,-2.1299999999999955,-2.239999999999995,-2.260000000000005,-1.9899999999999949,-2.1599999999999966,-2.6599999999999966,-2.7099999999999937,-0.2473333333333327,0.009781167973509745,0.8052012170880002,114.15,112.82333333333334
24/01/2017,-0.01999999999999602,-0.14000000000000057,-1.5699999999999932,-1.6799999999999926,-1.7000000000000028,-1.4299999999999926,-1.5999999999999943,-2.0999999999999943,-2.1499999999999915,-2.3900000000000006,-0.22751515151515145,0.020739509775439372,0.7551132365413805,113.91,112.13333333333333
25/01/2017,-0.12000000000000455,-1.5499999999999972,-1.6599999999999966,-1.6800000000000068,-1.4099999999999966,-1.5799999999999983,-2.0799999999999983,-2.1299999999999955,-2.3700000000000045,-4.519999999999996,-0.29733333333333306,0.06985867314399954,1.0444615837837201,111.76,112.67333333333333
26/01/2017,-1.4299999999999926,-1.539999999999992,-1.5600000000000023,-1.289999999999992,-1.4599999999999937,-1.9599999999999937,-2.009999999999991,-2.25,-4.3999999999999915,-3.3599999999999994,-0.26363636363636395,0.07390503492274828,0.9508333187262635,112.8,112.78333333333335
27/01/2017,-0.10999999999999943,-0.13000000000000966,0.14000000000000057,-0.030000000000001137,-0.5300000000000011,-0.5799999999999983,-0.8200000000000074,-2.969999999999999,-1.9300000000000068,-2.8900000000000006,-0.33690909090909094,0.07150052005006291,1.1195914433399352,111.84,113.25333333333333
30/01/2017,-0.020000000000010232,0.25,0.0799999999999983,-0.4200000000000017,-0.46999999999999886,-0.710000000000008,-2.8599999999999994,-1.8200000000000074,-2.780000000000001,-1.240000000000009,-0.2984848484848487,0.09692818151580318,1.0839137419555114,113.38,113.20333333333333
31/01/2017,0.27000000000001023,0.10000000000000853,-0.3999999999999915,-0.44999999999998863,-0.6899999999999977,-2.839999999999989,-1.7999999999999972,-2.759999999999991,-1.2199999999999989,-1.4699999999999989,-0.26000000000000095,0.0819761365314941,1.0399634608965838,113.13,113.35000000000001
01/02/2017,-0.1700000000000017,-0.6700000000000017,-0.7199999999999989,-0.960000000000008,-3.1099999999999994,-2.0700000000000074,-3.030000000000001,-1.490000000000009,-1.740000000000009,-1.6200000000000045,-0.17915151515151592,0.0519953050960903,0.9302773779900271,113.25,113.48
02/02/2017,-0.5,-0.5499999999999972,-0.7900000000000063,-2.9399999999999977,-1.9000000000000057,-2.8599999999999994,-1.3200000000000074,-1.5700000000000074,-1.4500000000000028,-1.4699999999999989,-0.0910909090909095,0.008864806181825034,0.8073567984478728,113.23,113.53666666666668
03/02/2017,-0.04999999999999716,-0.29000000000000625,-2.4399999999999977,-1.4000000000000057,-2.3599999999999994,-0.8200000000000074,-1.0700000000000074,-0.9500000000000028,-0.9699999999999989,-0.6300000000000097,-6.444865754450364e-16,-0.033523136356898436,0.7464154339240299,113.57,113.50666666666667
06/02/2017,-0.2400000000000091,-2.3900000000000006,-1.3500000000000085,-2.3100000000000023,-0.7700000000000102,-1.0200000000000102,-0.9000000000000057,-0.9200000000000017,-0.5800000000000125,-0.5100000000000051,0.09921212121212106,-0.04576543963811488,0.6882216212819796,113.64,113.42666666666666
07/02/2017,-2.1499999999999915,-1.1099999999999994,-2.069999999999993,-0.5300000000000011,-0.7800000000000011,-0.6599999999999966,-0.6799999999999926,-0.3400000000000034,-0.269999999999996,-0.5099999999999909,0.1755151515151515,-0.06571276169663398,0.639874987790582,113.4,113.65333333333332
08/02/2017,1.039999999999992,0.0799999999999983,1.6199999999999903,1.3699999999999903,1.4899999999999949,1.4699999999999989,1.809999999999988,1.8799999999999955,1.6400000000000006,1.7199999999999989,0.11903030303030372,-0.03405177825903799,0.4991352522112611,113.48,114.24000000000001
09/02/2017,-0.9599999999999937,0.5799999999999983,0.3299999999999983,0.45000000000000284,0.4300000000000068,0.769999999999996,0.8400000000000034,0.6000000000000085,0.6800000000000068,0.6000000000000085,0.10666666666666741,-0.048577245657316886,0.4867196318210301,113.4,115.06666666666666
10/02/2017,1.539999999999992,1.289999999999992,1.4099999999999966,1.3900000000000006,1.7299999999999898,1.7999999999999972,1.5600000000000023,1.6400000000000006,1.5600000000000023,2.239999999999995,0.060121212121212936,-0.03485947603530422,0.2546841180757052,114.08,115.82666666666667
13/02/2017,-0.25,-0.12999999999999545,-0.14999999999999147,0.18999999999999773,0.2600000000000051,0.020000000000010232,0.10000000000000853,0.020000000000010232,0.7000000000000028,1.8599999999999994,0.15236363636363653,-0.028567576733464644,0.5898779534785122,115.24,116.48
14/02/2017,0.12000000000000455,0.10000000000000853,0.4399999999999977,0.5100000000000051,0.27000000000001023,0.3500000000000085,0.27000000000001023,0.9500000000000028,2.1099999999999994,2.75,0.2403030303030299,-0.04178076395550099,0.864280625722916,115.88,117.21333333333332
