Date,Open,High,Low,Close,Volume,Currency,Trend,VolumeTrend,AAL,AAPL,AMT,AVY,AWK,BA,BAC,CCL,CNP,EQR,F,FOX,HFC,JNJ,MSFT,NFLX,PFE,PKG,PM,S&P500,WFC,WMT,XOM
2019-02-20,35.0,35.24,34.77,35.06,6969932,USD,Negative,Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-21,34.98,35.51,34.83,34.98,5900744,USD,Negative,Negative,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-22,35.0,35.55,35.0,35.49,5393564,USD,Positive,Negative,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-25,35.75,36.38,35.67,35.9,10905926,USD,Positive,Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-26,35.9,36.73,35.75,36.25,7565026,USD,Positive,Negative,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-27,36.11,36.33,35.27,35.69,5874912,USD,Negative,Negative,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-28,35.63,35.89,35.17,35.63,7873833,USD,Negative,Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-01,35.58,35.96,34.37,34.64,8654044,USD,Negative,Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-04,34.76,34.89,33.5,33.72,6998090,USD,Negative,Negative,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-05,34.03,34.38,33.17,33.23,7405708,USD,Negative,Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-06,33.22,33.41,32.52,32.76,6421016,USD,Negative,Negative,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-07,32.7,32.7,31.62,32.22,7112375,USD,Negative,Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-08,31.9,32.12,31.37,31.91,6200496,USD,Negative,Negative,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-11,31.64,32.27,31.57,32.05,8943989,USD,Positive,Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-12,32.19,32.19,30.88,30.92,10887514,USD,Negative,Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-13,31.22,31.93,31.0,31.84,11092869,USD,Positive,Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-14,31.96,32.47,31.88,32.13,6454467,USD,Positive,Negative,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-15,32.28,32.35,31.41,31.43,9645120,USD,Negative,Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-18,31.5,31.58,31.03,31.38,6832714,USD,Negative,Negative,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-19,31.5,32.12,31.38,31.59,6824528,USD,Positive,Negative,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-20,31.5,31.55,30.77,30.96,6250188,USD,Negative,Negative,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-21,30.89,31.77,30.79,31.45,5725099,USD,Positive,Negative,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-22,31.32,31.44,30.53,30.57,7488905,USD,Negative,Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-25,30.53,30.72,30.16,30.21,5172082,USD,Negative,Negative,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
